area,year,average_rain_fall_mm_per_year,avg_temp,pesticide_tonnes,item_y,yield_hg/ha
Albania,1996,1485.0,15.64,313.96,Wheat,21741
Albania,1997,1485.0,15.9,376.93,Maize,31862
Albania,1997,1485.0,15.9,376.93,Potatoes,109874
Albania,1997,1485.0,15.9,376.93,Soybeans,12768
Albania,1997,1485.0,15.9,376.93,Wheat,28516
Albania,1998,1485.0,16.27,439.89,Maize,33416
Albania,1998,1485.0,16.27,439.89,Potatoes,127212
Albania,1998,1485.0,16.27,439.89,Soybeans,14327
Albania,1998,1485.0,16.27,439.89,Wheat,28037
Albania,1999,1485.0,16.57,502.86,Maize,37455
Albania,1999,1485.0,16.57,502.86,Potatoes,142018
Albania,1999,1485.0,16.57,502.86,Soybeans,17143
Albania,1999,1485.0,16.57,502.86,Wheat,24954
Albania,2000,1485.0,16.67,565.82,Maize,38811
Albania,2000,1485.0,16.67,565.82,Potatoes,141228
Albania,2000,1485.0,16.67,565.82,Soybeans,15000
Albania,2000,1485.0,16.67,565.82,Wheat,30455
Albania,2001,1485.0,16.59,628.79,Maize,38135
Albania,2001,1485.0,16.59,628.79,Potatoes,148818
Albania,2001,1485.0,16.59,628.79,Soybeans,20000
Albania,2001,1485.0,16.59,628.79,Wheat,28220
Albania,2002,1485.0,16.47,691.75,Maize,39460
Albania,2002,1485.0,16.47,691.75,Potatoes,153868
Albania,2002,1485.0,16.47,691.75,Soybeans,20000
Albania,2002,1485.0,16.47,691.75,Wheat,31617
Albania,2004,1485.0,16.16,817.68,Maize,46197
Albania,2004,1485.0,16.16,817.68,Potatoes,149346
Albania,2004,1485.0,16.16,817.68,Soybeans,13333
Albania,2004,1485.0,16.16,817.68,Wheat,31130
Albania,2005,1485.0,15.67,880.64,Maize,45442
Albania,2005,1485.0,15.67,880.64,Potatoes,167061
Albania,2005,1485.0,15.67,880.64,Soybeans,17500
Albania,2005,1485.0,15.67,880.64,Wheat,31582
Albania,2006,1485.0,15.92,943.61,Maize,50111
Albania,2006,1485.0,15.92,943.61,Potatoes,170745
Albania,2006,1485.0,15.92,943.61,Soybeans,20000
Albania,2006,1485.0,15.92,943.61,Wheat,30787
Albania,2007,1485.0,16.67,1006.57,Maize,46732
Albania,2007,1485.0,16.67,1006.57,Potatoes,188902
Albania,2007,1485.0,16.67,1006.57,Soybeans,20000
Albania,2007,1485.0,16.67,1006.57,Wheat,35496
Albania,2008,1485.0,16.71,1069.54,Maize,50000
Albania,2008,1485.0,16.71,1069.54,Potatoes,193878
Albania,2008,1485.0,16.71,1069.54,Soybeans,20000
Albania,2008,1485.0,16.71,1069.54,Wheat,40168
Albania,2009,1485.0,16.73,1132.5,Maize,55693
Albania,2009,1485.0,16.73,1132.5,Potatoes,219780
Albania,2009,1485.0,16.73,1132.5,Soybeans,16667
Albania,2009,1485.0,16.73,1132.5,Wheat,40229
Albania,2010,1485.0,16.52,1311.17,Maize,66790
Albania,2010,1485.0,16.52,1311.17,Potatoes,231111
Albania,2010,1485.0,16.52,1311.17,Soybeans,16667
Albania,2010,1485.0,16.52,1311.17,Wheat,39905
Albania,2011,1485.0,16.45,1302.63,Maize,59869
Albania,2011,1485.0,16.45,1302.63,Potatoes,242211
Albania,2011,1485.0,16.45,1302.63,Soybeans,18519
Albania,2011,1485.0,16.45,1302.63,Wheat,42301
Albania,2012,1485.0,16.7,766.25,Maize,67290
Albania,2012,1485.0,16.7,766.25,Potatoes,250538
Albania,2012,1485.0,16.7,766.25,Soybeans,13333
Albania,2012,1485.0,16.7,766.25,Wheat,41096
Albania,2013,1485.0,17.41,982.32,Maize,69533
Albania,2013,1485.0,17.41,982.32,Potatoes,260110
Albania,2013,1485.0,17.41,982.32,Soybeans,10000
Albania,2013,1485.0,17.41,982.32,Wheat,41292
Algeria,1990,89.0,17.48,1828.92,Maize,16500
Algeria,1990,89.0,17.48,1828.92,Potatoes,78936
Algeria,1990,89.0,17.48,1828.92,"Rice, paddy",28000
Algeria,1990,89.0,17.48,1828.92,Sorghum,16571
Algeria,1990,89.0,17.48,1828.92,Wheat,6315
Algeria,1991,89.0,16.26,2461.8,Maize,19231
Algeria,1991,89.0,16.26,2461.8,Potatoes,90747
Algeria,1991,89.0,16.26,2461.8,"Rice, paddy",26786
Algeria,1991,89.0,16.26,2461.8,Sorghum,24231
Algeria,1991,89.0,16.26,2461.8,Wheat,10809
Algeria,1992,89.0,16.27,1215.47,Maize,22828
Algeria,1992,89.0,16.27,1215.47,Potatoes,107917
Algeria,1992,89.0,16.27,1215.47,"Rice, paddy",24733
Algeria,1992,89.0,16.27,1215.47,Sorghum,40000
Algeria,1992,89.0,16.27,1215.47,Wheat,9939
Algeria,1993,89.0,17.0,1021.89,Maize,12500
Algeria,1993,89.0,17.0,1021.89,Potatoes,111215
Algeria,1993,89.0,17.0,1021.89,"Rice, paddy",23111
Algeria,1993,89.0,17.0,1021.89,Sorghum,50000
Algeria,1993,89.0,17.0,1021.89,Wheat,8097
Algeria,1994,89.0,17.88,1255.02,Maize,4512
Algeria,1994,89.0,17.88,1255.02,Potatoes,95078
Algeria,1994,89.0,17.88,1255.02,"Rice, paddy",21374
Algeria,1994,89.0,17.88,1255.02,Wheat,7999
Algeria,1995,89.0,17.36,2697.09,Maize,16115
Algeria,1995,89.0,17.36,2697.09,Potatoes,136768
Algeria,1995,89.0,17.36,2697.09,"Rice, paddy",19598
Algeria,1995,89.0,17.36,2697.09,Sorghum,12667
Algeria,1995,89.0,17.36,2697.09,Wheat,8924
Algeria,1996,89.0,16.76,479.77,Maize,17154
Algeria,1996,89.0,16.76,479.77,Potatoes,134629
Algeria,1996,89.0,16.76,479.77,"Rice, paddy",17861
Algeria,1996,89.0,16.76,479.77,Sorghum,14750
Algeria,1996,89.0,16.76,479.77,Wheat,13090
Algeria,1997,89.0,17.84,401.22,Maize,21417
Algeria,1997,89.0,17.84,401.22,Potatoes,141042
Algeria,1997,89.0,17.84,401.22,"Rice, paddy",15000
Algeria,1997,89.0,17.84,401.22,Sorghum,40000
Algeria,1997,89.0,17.84,401.22,Wheat,8016
Algeria,1998,89.0,17.14,322.84,Maize,17222
Algeria,1998,89.0,17.14,322.84,Potatoes,160256
Algeria,1998,89.0,17.14,322.84,"Rice, paddy",15000
Algeria,1998,89.0,17.14,322.84,Sorghum,24500
Algeria,1998,89.0,17.14,322.84,Wheat,8847
Algeria,1999,89.0,17.97,654.45,Maize,22375
Algeria,1999,89.0,17.97,654.45,Potatoes,153532
Algeria,1999,89.0,17.97,654.45,"Rice, paddy",13942
Algeria,1999,89.0,17.97,654.45,Sorghum,27000
Algeria,1999,89.0,17.97,654.45,Wheat,10711
Algeria,2000,89.0,17.9,603.67,Maize,36186
Algeria,2000,89.0,17.9,603.67,Potatoes,166143
Algeria,2000,89.0,17.9,603.67,"Rice, paddy",13052
Algeria,2000,89.0,17.9,603.67,Sorghum,69500
Algeria,2000,89.0,17.9,603.67,Wheat,9194
Algeria,2001,89.0,18.13,710.11,Maize,27175
Algeria,2001,89.0,18.13,710.11,Potatoes,147018
Algeria,2001,89.0,18.13,710.11,"Rice, paddy",12314
Algeria,2001,89.0,18.13,710.11,Sorghum,27750
Algeria,2001,89.0,18.13,710.11,Wheat,11104
Algeria,2002,89.0,17.85,816.55,Maize,33480
Algeria,2002,89.0,17.85,816.55,Potatoes,183774
Algeria,2002,89.0,17.85,816.55,"Rice, paddy",12959
Algeria,2002,89.0,17.85,816.55,Sorghum,33900
Algeria,2002,89.0,17.85,816.55,Wheat,10739
Algeria,2004,89.0,17.38,3747.86,Maize,31729
Algeria,2004,89.0,17.38,3747.86,Potatoes,203585
Algeria,2004,89.0,17.38,3747.86,"Rice, paddy",12829
Algeria,2004,89.0,17.38,3747.86,Sorghum,43316
Algeria,2004,89.0,17.38,3747.86,Wheat,13582
Algeria,2005,89.0,17.19,3662.87,Maize,33864
Algeria,2005,89.0,17.19,3662.87,Potatoes,216267
Algeria,2005,89.0,17.19,3662.87,"Rice, paddy",12998
Algeria,2005,89.0,17.19,3662.87,Sorghum,33486
Algeria,2005,89.0,17.19,3662.87,Wheat,15057
Algeria,2006,89.0,18.13,4110.72,Maize,65668
Algeria,2006,89.0,18.13,4110.72,Potatoes,220689
Algeria,2006,89.0,18.13,4110.72,"Rice, paddy",12769
Algeria,2006,89.0,18.13,4110.72,Sorghum,56728
Algeria,2006,89.0,18.13,4110.72,Wheat,15068
Algeria,2007,89.0,17.42,5390.79,Maize,85625
Algeria,2007,89.0,17.42,5390.79,Potatoes,189927
Algeria,2007,89.0,17.42,5390.79,"Rice, paddy",13375
Algeria,2007,89.0,17.42,5390.79,Sorghum,119059
Algeria,2007,89.0,17.42,5390.79,Wheat,12742
Algeria,2008,89.0,17.55,11556.12,Maize,44714
Algeria,2008,89.0,17.55,11556.12,Potatoes,236393
Algeria,2008,89.0,17.55,11556.12,"Rice, paddy",13952
Algeria,2008,89.0,17.55,11556.12,Sorghum,61786
Algeria,2008,89.0,17.55,11556.12,Wheat,11038
Algeria,2009,89.0,17.78,3867.99,Maize,30914
Algeria,2009,89.0,17.78,3867.99,Potatoes,250764
Algeria,2009,89.0,17.78,3867.99,"Rice, paddy",14594
Algeria,2009,89.0,17.78,3867.99,Sorghum,90465
Algeria,2009,89.0,17.78,3867.99,Wheat,15975
Algeria,2010,89.0,17.59,1295.88,Maize,25827
Algeria,2010,89.0,17.59,1295.88,Potatoes,270526
Algeria,2010,89.0,17.59,1295.88,"Rice, paddy",15305
Algeria,2010,89.0,17.59,1295.88,Sorghum,30286
Algeria,2010,89.0,17.59,1295.88,Wheat,14838
Algeria,2011,89.0,17.79,13861.76,Maize,23374
Algeria,2011,89.0,17.79,13861.76,Potatoes,292806
Algeria,2011,89.0,17.79,13861.76,"Rice, paddy",16081
Algeria,2011,89.0,17.79,13861.76,Sorghum,100000
Algeria,2011,89.0,17.79,13861.76,Wheat,17405
Algeria,2012,89.0,17.91,17379.76,Maize,25583
Algeria,2012,89.0,17.91,17379.76,Potatoes,304291
Algeria,2012,89.0,17.91,17379.76,"Rice, paddy",16667
Algeria,2012,89.0,17.91,17379.76,Sorghum,206000
Algeria,2012,89.0,17.91,17379.76,Wheat,17639
Algeria,2013,89.0,17.65,17278.65,Maize,33649
Algeria,2013,89.0,17.65,17278.65,Potatoes,303218
Algeria,2013,89.0,17.65,17278.65,"Rice, paddy",17778
Algeria,2013,89.0,17.65,17278.65,Sorghum,60000
Algeria,2013,89.0,17.65,17278.65,Wheat,19100
Angola,1990,1010.0,24.12,64.0,Cassava,41177
Angola,1990,1010.0,24.12,64.0,Maize,2736
Angola,1990,1010.0,24.12,64.0,Potatoes,40000
Angola,1990,1010.0,24.12,64.0,"Rice, paddy",9512
Angola,1990,1010.0,24.12,64.0,Sweet potatoes,89342
Angola,1990,1010.0,24.12,64.0,Wheat,7995
Angola,1991,1010.0,24.02,79.0,Cassava,40295
Angola,1991,1010.0,24.02,79.0,Maize,4013
Angola,1991,1010.0,24.02,79.0,Potatoes,40000
Angola,1991,1010.0,24.02,79.0,"Rice, paddy",10000
Angola,1991,1010.0,24.02,79.0,Sweet potatoes,83001
Angola,1991,1010.0,24.02,79.0,Wheat,8000
Angola,1992,1010.0,23.96,23.0,Cassava,42295
Angola,1992,1010.0,23.96,23.0,Maize,3778
Angola,1992,1010.0,23.96,23.0,Potatoes,40000
Angola,1992,1010.0,23.96,23.0,"Rice, paddy",9106
Angola,1992,1010.0,23.96,23.0,Sweet potatoes,90000
Angola,1992,1010.0,23.96,23.0,Wheat,8000
Angola,1993,1010.0,24.15,169.0,Cassava,42295
Angola,1993,1010.0,24.15,169.0,Maize,2627
Angola,1993,1010.0,24.15,169.0,Potatoes,70000
Angola,1993,1010.0,24.15,169.0,"Rice, paddy",8000
Angola,1993,1010.0,24.15,169.0,Sweet potatoes,88095
Angola,1993,1010.0,24.15,169.0,Wheat,8876
Angola,1994,1010.0,24.04,25.5,Cassava,58596
Angola,1994,1010.0,24.04,25.5,Maize,2463
Angola,1994,1010.0,24.04,25.5,Potatoes,90000
Angola,1994,1010.0,24.04,25.5,"Rice, paddy",8750
Angola,1994,1010.0,24.04,25.5,Sweet potatoes,83192
Angola,1994,1010.0,24.04,25.5,Wheat,10000
Angola,1995,1010.0,24.56,336.0,Cassava,51000
Angola,1995,1010.0,24.56,336.0,Maize,3517
Angola,1995,1010.0,24.56,336.0,Potatoes,76738
Angola,1995,1010.0,24.56,336.0,"Rice, paddy",14615
Angola,1995,1010.0,24.56,336.0,Sweet potatoes,81138
Angola,1995,1010.0,24.56,336.0,Wheat,11855
Angola,1996,1010.0,24.11,40.0,Cassava,48077
Angola,1996,1010.0,24.11,40.0,Maize,6993
Angola,1996,1010.0,24.11,40.0,Potatoes,70000
Angola,1996,1010.0,24.11,40.0,"Rice, paddy",17500
Angola,1996,1010.0,24.11,40.0,Sweet potatoes,85455
Angola,1996,1010.0,24.11,40.0,Wheat,13738
Angola,1997,1010.0,24.06,40.0,Cassava,44205
Angola,1997,1010.0,24.06,40.0,Maize,5959
Angola,1997,1010.0,24.06,40.0,Potatoes,68571
Angola,1997,1010.0,24.06,40.0,"Rice, paddy",20000
Angola,1997,1010.0,24.06,40.0,Sweet potatoes,78098
Angola,1997,1010.0,24.06,40.0,Wheat,15509
Angola,1998,1010.0,24.96,40.0,Cassava,55728
Angola,1998,1010.0,24.96,40.0,Maize,7396
Angola,1998,1010.0,24.96,40.0,Potatoes,62724
Angola,1998,1010.0,24.96,40.0,"Rice, paddy",20000
Angola,1998,1010.0,24.96,40.0,Sweet potatoes,76256
Angola,1998,1010.0,24.96,40.0,Wheat,17143
Angola,1999,1010.0,24.37,40.0,Cassava,59821
Angola,1999,1010.0,24.37,40.0,Maize,6361
Angola,1999,1010.0,24.37,40.0,Potatoes,54597
Angola,1999,1010.0,24.37,40.0,"Rice, paddy",14235
Angola,1999,1010.0,24.37,40.0,Sweet potatoes,82865
Angola,1999,1010.0,24.37,40.0,Wheat,17391
Angola,2000,1010.0,24.41,40.0,Cassava,82992
Angola,2000,1010.0,24.41,40.0,Maize,5745
Angola,2000,1010.0,24.41,40.0,Potatoes,29885
Angola,2000,1010.0,24.41,40.0,"Rice, paddy",13454
Angola,2000,1010.0,24.41,40.0,Sorghum,3333
Angola,2000,1010.0,24.41,40.0,Soybeans,2333
Angola,2000,1010.0,24.41,40.0,Sweet potatoes,34938
Angola,2000,1010.0,24.41,40.0,Wheat,17023
Angola,2001,1010.0,24.43,40.0,Cassava,94072
Angola,2001,1010.0,24.43,40.0,Maize,5754
Angola,2001,1010.0,24.43,40.0,Potatoes,42552
Angola,2001,1010.0,24.43,40.0,"Rice, paddy",13701
Angola,2001,1010.0,24.43,40.0,Sorghum,3571
Angola,2001,1010.0,24.43,40.0,Soybeans,2500
Angola,2001,1010.0,24.43,40.0,Sweet potatoes,44458
Angola,2001,1010.0,24.43,40.0,Wheat,16667
Angola,2002,1010.0,24.79,40.0,Cassava,110071
Angola,2002,1010.0,24.79,40.0,Maize,6706
Angola,2002,1010.0,24.79,40.0,Potatoes,42754
Angola,2002,1010.0,24.79,40.0,"Rice, paddy",13198
Angola,2002,1010.0,24.79,40.0,Sorghum,3400
Angola,2002,1010.0,24.79,40.0,Soybeans,2857
Angola,2002,1010.0,24.79,40.0,Sweet potatoes,42190
Angola,2002,1010.0,24.79,40.0,Wheat,15455
Angola,2004,1010.0,24.22,40.0,Cassava,125605
Angola,2004,1010.0,24.22,40.0,Maize,5404
Angola,2004,1010.0,24.22,40.0,Potatoes,20150
Angola,2004,1010.0,24.22,40.0,"Rice, paddy",11584
Angola,2004,1010.0,24.22,40.0,Sorghum,3333
Angola,2004,1010.0,24.22,40.0,Soybeans,3600
Angola,2004,1010.0,24.22,40.0,Sweet potatoes,45360
Angola,2004,1010.0,24.22,40.0,Wheat,12442
Angola,2005,1010.0,24.41,40.0,Cassava,117628
Angola,2005,1010.0,24.41,40.0,Maize,6736
Angola,2005,1010.0,24.41,40.0,Potatoes,23646
Angola,2005,1010.0,24.41,40.0,"Rice, paddy",6977
Angola,2005,1010.0,24.41,40.0,Sorghum,3333
Angola,2005,1010.0,24.41,40.0,Soybeans,3793
Angola,2005,1010.0,24.41,40.0,Sweet potatoes,46159
Angola,2005,1010.0,24.41,40.0,Wheat,10946
Angola,2006,1010.0,24.14,40.0,Cassava,117201
Angola,2006,1010.0,24.14,40.0,Maize,4687
Angola,2006,1010.0,24.14,40.0,Potatoes,52148
Angola,2006,1010.0,24.14,40.0,"Rice, paddy",4947
Angola,2006,1010.0,24.14,40.0,Sorghum,4091
Angola,2006,1010.0,24.14,40.0,Soybeans,4286
Angola,2006,1010.0,24.14,40.0,Sweet potatoes,44240
Angola,2006,1010.0,24.14,40.0,Wheat,10000
Angola,2007,1010.0,24.24,40.0,Cassava,115387
Angola,2007,1010.0,24.24,40.0,Maize,5091
Angola,2007,1010.0,24.24,40.0,Potatoes,62138
Angola,2007,1010.0,24.24,40.0,"Rice, paddy",5143
Angola,2007,1010.0,24.24,40.0,Sorghum,4031
Angola,2007,1010.0,24.24,40.0,Soybeans,6883
Angola,2007,1010.0,24.24,40.0,Sweet potatoes,58855
Angola,2007,1010.0,24.24,40.0,Wheat,10000
Angola,2008,1010.0,24.27,40.0,Cassava,148084
Angola,2008,1010.0,24.27,40.0,Maize,7946
Angola,2008,1010.0,24.27,40.0,Potatoes,85085
Angola,2008,1010.0,24.27,40.0,"Rice, paddy",5084
Angola,2008,1010.0,24.27,40.0,Sorghum,929
Angola,2008,1010.0,24.27,40.0,Soybeans,8575
Angola,2008,1010.0,24.27,40.0,Sweet potatoes,65437
Angola,2008,1010.0,24.27,40.0,Wheat,10000
Angola,2009,1010.0,24.33,40.0,Cassava,151759
Angola,2009,1010.0,24.33,40.0,Maize,6614
Angola,2009,1010.0,24.33,40.0,Potatoes,86509
Angola,2009,1010.0,24.33,40.0,"Rice, paddy",6028
Angola,2009,1010.0,24.33,40.0,Sorghum,2480
Angola,2009,1010.0,24.33,40.0,Soybeans,4449
Angola,2009,1010.0,24.33,40.0,Sweet potatoes,66475
Angola,2009,1010.0,24.33,40.0,Wheat,10000
Angola,2010,1010.0,24.44,40.0,Cassava,155782
Angola,2010,1010.0,24.44,40.0,Maize,7200
Angola,2010,1010.0,24.44,40.0,Potatoes,87425
Angola,2010,1010.0,24.44,40.0,"Rice, paddy",7403
Angola,2010,1010.0,24.44,40.0,Sorghum,2814
Angola,2010,1010.0,24.44,40.0,Soybeans,4446
Angola,2010,1010.0,24.44,40.0,Sweet potatoes,63001
Angola,2010,1010.0,24.44,40.0,Wheat,10526
Angola,2011,1010.0,24.15,40.0,Cassava,133649
Angola,2011,1010.0,24.15,40.0,Maize,7376
Angola,2011,1010.0,24.15,40.0,Potatoes,81366
Angola,2011,1010.0,24.15,40.0,"Rice, paddy",8914
Angola,2011,1010.0,24.15,40.0,Sorghum,3320
Angola,2011,1010.0,24.15,40.0,Soybeans,5294
Angola,2011,1010.0,24.15,40.0,Sweet potatoes,65512
Angola,2011,1010.0,24.15,40.0,Wheat,10959
Angola,2012,1010.0,24.24,40.0,Cassava,100073
Angola,2012,1010.0,24.24,40.0,Maize,7770
Angola,2012,1010.0,24.24,40.0,Potatoes,69381
Angola,2012,1010.0,24.24,40.0,"Rice, paddy",7703
Angola,2012,1010.0,24.24,40.0,Sorghum,998
Angola,2012,1010.0,24.24,40.0,Soybeans,1641
Angola,2012,1010.0,24.24,40.0,Sweet potatoes,52954
Angola,2012,1010.0,24.24,40.0,Wheat,11258
Angola,2013,1010.0,24.55,40.0,Cassava,140517
Angola,2013,1010.0,24.55,40.0,Maize,9467
Angola,2013,1010.0,24.55,40.0,Potatoes,63303
Angola,2013,1010.0,24.55,40.0,"Rice, paddy",12744
Angola,2013,1010.0,24.55,40.0,Sorghum,2415
Angola,2013,1010.0,24.55,40.0,Soybeans,4405
Angola,2013,1010.0,24.55,40.0,Sweet potatoes,73409
Angola,2013,1010.0,24.55,40.0,Wheat,9022
Argentina,1990,591.0,17.46,26156.0,Cassava,100000
Argentina,1990,591.0,17.46,26156.0,Maize,34608
Argentina,1990,591.0,17.46,26156.0,Potatoes,202747
Argentina,1990,591.0,17.46,26156.0,"Rice, paddy",36709
Argentina,1990,591.0,17.46,26156.0,Sorghum,28116
Argentina,1990,591.0,17.46,26156.0,Soybeans,21566
Argentina,1990,591.0,17.46,26156.0,Sweet potatoes,131864
Argentina,1990,591.0,17.46,26156.0,Wheat,18947
Argentina,1990,591.0,17.67,26156.0,Cassava,100000
Argentina,1990,591.0,17.67,26156.0,Maize,34608
Argentina,1990,591.0,17.67,26156.0,Potatoes,202747
Argentina,1990,591.0,17.67,26156.0,"Rice, paddy",36709
Argentina,1990,591.0,17.67,26156.0,Sorghum,28116
Argentina,1990,591.0,17.67,26156.0,Soybeans,21566
Argentina,1990,591.0,17.67,26156.0,Sweet potatoes,131864
Argentina,1990,591.0,17.67,26156.0,Wheat,18947
Argentina,1991,591.0,17.64,26156.0,Cassava,100000
Argentina,1991,591.0,17.64,26156.0,Maize,40444
Argentina,1991,591.0,17.64,26156.0,Potatoes,205692
Argentina,1991,591.0,17.64,26156.0,"Rice, paddy",40294
Argentina,1991,591.0,17.64,26156.0,Sorghum,33320
Argentina,1991,591.0,17.64,26156.0,Soybeans,22750
Argentina,1991,591.0,17.64,26156.0,Sweet potatoes,131364
Argentina,1991,591.0,17.64,26156.0,Wheat,18972
Argentina,1991,591.0,17.86,26156.0,Cassava,100000
Argentina,1991,591.0,17.86,26156.0,Maize,40444
Argentina,1991,591.0,17.86,26156.0,Potatoes,205692
Argentina,1991,591.0,17.86,26156.0,"Rice, paddy",40294
Argentina,1991,591.0,17.86,26156.0,Sorghum,33320
Argentina,1991,591.0,17.86,26156.0,Soybeans,22750
Argentina,1991,591.0,17.86,26156.0,Sweet potatoes,131364
Argentina,1991,591.0,17.86,26156.0,Wheat,18972
Argentina,1992,591.0,17.09,26156.0,Cassava,100000
Argentina,1992,591.0,17.09,26156.0,Maize,45237
Argentina,1992,591.0,17.09,26156.0,Potatoes,199039
Argentina,1992,591.0,17.09,26156.0,"Rice, paddy",52075
Argentina,1992,591.0,17.09,26156.0,Sorghum,36217
Argentina,1992,591.0,17.09,26156.0,Soybeans,22915
Argentina,1992,591.0,17.09,26156.0,Sweet potatoes,127273
Argentina,1992,591.0,17.09,26156.0,Wheat,21809
Argentina,1992,591.0,17.51,26156.0,Cassava,100000
Argentina,1992,591.0,17.51,26156.0,Maize,45237
Argentina,1992,591.0,17.51,26156.0,Potatoes,199039
Argentina,1992,591.0,17.51,26156.0,"Rice, paddy",52075
Argentina,1992,591.0,17.51,26156.0,Sorghum,36217
Argentina,1992,591.0,17.51,26156.0,Soybeans,22915
Argentina,1992,591.0,17.51,26156.0,Sweet potatoes,127273
Argentina,1992,591.0,17.51,26156.0,Wheat,21809
Argentina,1993,591.0,17.32,26156.0,Cassava,100000
Argentina,1993,591.0,17.32,26156.0,Maize,43552
Argentina,1993,591.0,17.32,26156.0,Potatoes,210314
Argentina,1993,591.0,17.32,26156.0,"Rice, paddy",43559
Argentina,1993,591.0,17.32,26156.0,Sorghum,39529
Argentina,1993,591.0,17.32,26156.0,Soybeans,21589
Argentina,1993,591.0,17.32,26156.0,Sweet potatoes,122955
Argentina,1993,591.0,17.32,26156.0,Wheat,23272
Argentina,1993,591.0,17.53,26156.0,Cassava,100000
Argentina,1993,591.0,17.53,26156.0,Maize,43552
Argentina,1993,591.0,17.53,26156.0,Potatoes,210314
Argentina,1993,591.0,17.53,26156.0,"Rice, paddy",43559
Argentina,1993,591.0,17.53,26156.0,Sorghum,39529
Argentina,1993,591.0,17.53,26156.0,Soybeans,21589
Argentina,1993,591.0,17.53,26156.0,Sweet potatoes,122955
Argentina,1993,591.0,17.53,26156.0,Wheat,23272
Argentina,1994,591.0,18.17,30195.0,Cassava,100000
Argentina,1994,591.0,18.17,30195.0,Maize,42371
Argentina,1994,591.0,18.17,30195.0,Potatoes,230166
Argentina,1994,591.0,18.17,30195.0,"Rice, paddy",42989
Argentina,1994,591.0,18.17,30195.0,Sorghum,35065
Argentina,1994,591.0,18.17,30195.0,Soybeans,20386
Argentina,1994,591.0,18.17,30195.0,Sweet potatoes,176667
Argentina,1994,591.0,18.17,30195.0,Wheat,20237
Argentina,1994,591.0,18.31,30195.0,Cassava,100000
Argentina,1994,591.0,18.31,30195.0,Maize,42371
Argentina,1994,591.0,18.31,30195.0,Potatoes,230166
Argentina,1994,591.0,18.31,30195.0,"Rice, paddy",42989
Argentina,1994,591.0,18.31,30195.0,Sorghum,35065
Argentina,1994,591.0,18.31,30195.0,Soybeans,20386
Argentina,1994,591.0,18.31,30195.0,Sweet potatoes,176667
Argentina,1994,591.0,18.31,30195.0,Wheat,20237
Argentina,1995,591.0,17.74,37842.0,Cassava,100000
Argentina,1995,591.0,17.74,37842.0,Maize,45223
Argentina,1995,591.0,17.74,37842.0,Potatoes,274272
Argentina,1995,591.0,17.74,37842.0,"Rice, paddy",50306
Argentina,1995,591.0,17.74,37842.0,Sorghum,34588
Argentina,1995,591.0,17.74,37842.0,Soybeans,20446
Argentina,1995,591.0,17.74,37842.0,Sweet potatoes,168000
Argentina,1995,591.0,17.74,37842.0,Wheat,21675
Argentina,1995,591.0,17.62,37842.0,Cassava,100000
Argentina,1995,591.0,17.62,37842.0,Maize,45223
Argentina,1995,591.0,17.62,37842.0,Potatoes,274272
Argentina,1995,591.0,17.62,37842.0,"Rice, paddy",50306
Argentina,1995,591.0,17.62,37842.0,Sorghum,34588
Argentina,1995,591.0,17.62,37842.0,Soybeans,20446
Argentina,1995,591.0,17.62,37842.0,Sweet potatoes,168000
